Language,Speaker tier,Count,Lemma,English lemma,Clarifier,POS,Gender,Number,Tense,Notes,Occurring in files …
cym,boenus,2,poenus,painful,,ADJ,,,,,"fusser12,fusser4"
cym,boitsh,1,poitsh,mess,,N,M,S,,GPC,roberts3
cym,bolyn,2,polyn,pole,,N,M,S,,,"davies15,robert6"
cym,bonc,1,ponc,hillock,,V,F,S,,,fusser11
cym,bopio,1,bopio,bop,,V,,,INFIN,GyA,fusser10
,,,,,,,,,,,
cym,bosibilydd,1,,,,,,,,"error for ""bosibilrwydd""",fusser17
cym,bragdy,2,bracdy,brewery,,N,M,S,,"new GPC ""bragdy -> bracdy""",fusser10
cym,brathiad,1,brathiad,bite,,N,M,S,,,fusser16
cym,bratiaith,1,bratiaith,adulterated_language,,N,F,S,,,davies17
cym,braw,1,braw,fear,,N,M,S,,,stammers8
cym,breibio,1,breibio,bribe,,V,,INFIN,,GPC,smith1
cym,brenhines,2,brenhines,queen,,N,F,S,,,deuchar1
cym,brensiach,1,brensiach,good_gracious,,IM,,,,GPC,fusser12
cym,briallu,1,briallen,primrose,"
",N,F,P,,,robert5
cym,brodwaith,1,brodwaith,embroidery,,N,M,S,,,fusser13
cym,broffesiynnol,1,,,,,,,,"changed to ""broffesiynol""",fusser32
cym,bromptio,1,,,,,,,,"changed to ""bromtio""",fusser9
cym,bromtio,1,bromtio,prompt,,V,,,INFIN,GPC,fusser9
cym,brwyn,11,brwyn,rushes,,N,F,P,,,fusser17
cym,buais,7,,,,,,,,"replaced by ""bues""",davies1
cym,bugail,2,bugail,shepherd,,N,M,S,,,fusser30
cym,bugeiliaid,1,bugail,shepherd,,N,M,P,,,stammers5
cym,bugeiliol,2,bugeiliol,pastoral,,ADJ,,,,,fusser21
cym,buo,1,,,,,,,,"changed to ""buo(dd)""",davies4
cym,burfa,1,purfa,refinery,,N,F,S,,,davies11
,,,,,,,,,,,
cym,bwdins,1,pwdin,pudding,,N,M,P,,GPC,fusser14
cym,bwl,1,pwl,bout,,N,M,S,,GPC,fusser16
cym,bwlian,1,bwlian,bully,,V,,INFIN,,GPC,davies13
cym,bwsio,3,pwsio,push,,V,,INFIN,,GPC,"davies11,fusser13,stammers5"
cym,bwtsh,1,pwyts,pouch,,N,M,S,,"GPC (went for spelling ""pwyts"" to disambiguate from the many other meaninings of ""pwtsh"")",robert8
cym,bwtwm,1,bwtwm,button,,N,M,S,,GPC,davies16
cym,bwtwn,3,bwtwn,button,,N,M,S,,GPC,"davies13,fusser17"
cym,bwytai,1,bwyta,eat,,V,,S,IMPERF,3S,davies1
cym,bwytwch,1,bwyta,eat,,V,,P,IMPER/NONPAST,2P,robert4
cym,bydde,4,bod,be,,V,,S,COND,3S,davies13
cym,bygythiol,1,bygythiol,threatening,,ADJ,,,,,roberts1
cym,byliau,1,pwl,bout,,N,M,P,,,roberts2
cym,bysach,3,bod,be,,V,,P,PRES,2P,fusser8
cym,bysachd,4,bod,be,,N,,2,COND,be.2S.CONDIT,"davies5,fusser21,fusser7"
cym,bysat,1,bod,be,,V,,2,COND,2S,davies4
cym,bythynnod,2,bwthyn,,,N,M,P,,,fusser17
,,,,,,,,,,,
cym,bytiau,1,pwt,scrap,,N,MF,P,,GPC,stammers9
cym,c,4,c,c,,N,M (?),S,,letter,"fusser9,robert3"
cym,cacenni,1,cacen,cake,,N,F,P,,GPC,fusser14
cym,cachiad,1,cachiad,excretion,,N,M,S,,GPC,davies6
cym,cad,2,cadw,keep,,V,,S,IMPER,2S,robert8
cym,cadeiriol,1,cadeiriol,cathedral,,ADJ,,,,,fusser14
cym,cadeiryddiad,1,cadeiryddiad,chairmanship,,N,M,S,,"not in dictionaries; speaker may be trying to correct herself to ""cadeiryddiaeth""",roberts3
cym,cadw_mi_gei,5,cadw_mi_gei,money_box,,N,M,S,,"GPC ""cadw-mi-gei""",davies2
cym,cadw_mi_geis,1,cadw_mi_gei,money_box,,N,M,P,,,davies2
cym,caead,2,caead,lid,,N,M,S,,,"fusser8,stammers6"
cym,caethwasiaeth,1,caethwasiaeth,slavery,,N,F,S,,,stammers9
cym,caffael,2,caffael,acquire,,V,,,INFIN,or NMS?,fusser15
cym,calla,1,call,wise,,ADJ,,,,SUP,davies4
cym,calonogol,1,calonogol,heartening,,ADJ,,,,,fusser32
cym,cambihafio,1,cambihafio,misbehave,,,,,,GyA,fusser14
cym,camddallt,2,camddallt,misunderstand,,V,,,INFIN,"GPC has ""cam-"" and ""dallt""",fusser21
cym,camelod,1,camel,camel,,N,M,P,,GPC,fusser26
cym,camerâu,3,camera,camera,,N,M,P,,,"fusser4,robert1,roberts1"
cym,camgymeryd,2,camgymeryd,mistake,,V,,INFIN,,GPC,"davies11,fusser8"
cym,cancr,3,cancr,cancer,,N,M,S,,GPC,fusser27
cym,caniad,2,caniad,ring,,N,M,S,,,"davies15,fusser28"
cym,canllath,1,canllath,hundred_yards,,N,,P,,GPC,davies11
cym,canoldir,1,canoldir,midland,,N,M,S,,GPC,stammers8
cym,canoloesoedd,1,canoloesoedd,Middle_Ages,,N,,P,,GPC,fusser9
cym,canpunt,2,canpunt,hundred_pounds,,N,,P,,GPC,"davies6,fusser15"
cym,canslio,1,canslio,cancel,,V,,INFIN,,GPC,davies5
cym,canwyl,1,,,,,,,,"error for ""canol""",stammers8
cym,capelwr,2,capelwr,chapel_goer,,N,M,S,,,davies17
cym,capelwyr,1,capelwr,chapel_goer,,N,M,P,,,davies17
cym,capiau,2,cap,cap,,N,M,P,,GPC,"davies12,fusser16"
cym,carchardai,1,carchardy,prison,,N,M,P,,,robert9
cym,carden,5,carden,card,,N,F,S,,in GPC,robert1
cym,cardyn,34,cardyn,card,,N,M,S,,in GPC,"davies15,davies5,fusser13,fusser16,fusser21,fusser3,fusser7,fusser8,robert5,robert9,stammers2"
cym,caregog,1,caregog,stony,,ADJ,,,,,fusser9
cym,careiau,2,carrai,lace,,N,F,P,,GPC,"fusser27,fusser7"
cym,carfio,3,carfio,carve,,V,,,INFIN,GPC,"fusser16,fusser29"
cym,carpiau,1,carp,rag,,N,M,P,,GPC,fusser9
cym,carpiog,1,carpiog,ragged,,ADJ,,,,GPC,fusser9
,,,,,,,,,,,
cym,carw,1,carw,hart,,N,M,S,,,fusser12
cym,casau,1,,,,,,,,"changed to ""casáu""",fusser15
cym,caseg,1,caseg,mare,,N,F,S,,,fusser17
cym,castiog,1,castiog,wily,,ADJ,,,,GPC,fusser11
cym,catholigwyr,1,,,,,,,,"changed to ""Catholigwyr""",davies17
cym,Catholigwyr,1,Catholigwr,Catholic,,N,M,P,,,davies17
cym,cawell,3,cawell,cage,,N,M,S,,,"fusser8,fusser9"
cym,cawl,2,cawl,soup,,N,M,S,,,"stammers6,stammers8"
cym,cawod,23,cawod,shower,,N,F,S,,,"davies12,davies13,davies2,fusser15,fusser17,fusser21"
cym,cawodydd,2,cawod,shower,,N,F,P,,,"davies12,fusser15"
,,,,,,,,,,,
cym,cefndirol,1,cefndirol,background,,ADJ,,,,,robert9
cym,cefndryd,2,cefnder,cousin,,N,M,P,,GPC,"davies11,davies7"
cym,cefnither,1,cefnither,cousin,,N,F,S,,GPC,fusser30
cym,cefnog,1,cefnog,wealthy,,ADJ,,,,,fusser21
cym,cegaid,3,cegaid,mouthful,,N,F,S,,,"davies1,davies4"
cym,cegog,1,cegog,mouthy,,ADJ,,,,GPC,fusser9
cym,ceibo,1,ceibio,hoe,,V,,,INFIN,,fusser3
cym,ceiliog,10,ceiliog,cockerel,,N,M,S,,,"fusser14,fusser17,fusser9,robert5"
cym,ceiliogod,1,ceiliog,cockerel,,N,M,P,,,davies11
cym,ceirios,1,ceiriosen,cherry,,N,F,P,,,fusser16
cym,ceirw,1,carw,hart,,N,M,P,,,davies4
cym,celtaidd,2,,,,,,,,"changed to ""Celtaidd""",robert1
cym,Celtaidd,2,Celtaidd,Celtic,,ADJ,,,,,robert1
cym,cenhedlaethau,1,,,,,,,,"changed to ""cenedlaethau""",davies10
cym,cerddorfa,3,,orchestra,,N,F,S,,,"davies3,davies7,roberts2"
cym,cerddorfeydd,1,cerddorfa,orchestra,,N,F,P,,,davies3
cym,cesail,2,cesail,armpit,,N,F,S,,,fusser30
,,,,,,,,,,,
cym,cewyn,1,cewyn,nappy,,N,M,S,,,fusser3
cym,chdithau,8,chdithau,you,,PRON,,S,,2S,"fusser11,fusser13,fusser32,lloyd1,roberts2,roberts3,stammers3"
,,,,,,,,,,,
cym,chwaden,1,chwaden,duck,,N,F,S,,GyA,fusser14
cym,chwaer_yng_nghyfraith,1,chwaer_yng_nghyfraith,sister_in-law,,N,F,S,,,roberts2
cym,chwaethus,1,chwaethus,tasteful,,ADJ,,,,,stammers6
cym,chwaneg,3,chwaneg,more,,ADJ,,,,GPC,"deuchar1,fusser5,stammers1"
cym,chwarelwyr,1,chwarelwr,quarryman,,N,M,P,,,fusser4
,,,,,,,,,,,
cym,chwd,2,? see notes,vomit,,N,M,S,,"GyA has ""ch?d"" (the circumflex being redundant really) and ""ch?yd"", GPC only ""chw?d""; haven't changed anything in the transcription (yet)",davies2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
cym,chwech_gwlad,1,,,,,,,,have split it up,fusser10
,,,,,,,,,,,
cym,chwerthais,1,chwerthin,laugh,,V,,S,PAST,1S,fusser8
cym,chwerthins,1,chwerthin,laugh,,N (?),,S,,ad-hoc plural of what would normally be a verb-noun,davies9
cym,chwerthon,1,chwerthin,laugh,,V,,P,PAST,1P,fusser8
,,,,,,,,,,,
cym,chwil,1,chwil,drunk,,ADJ,,,,,lloyd1
cym,chwinciad,1,chwinciad,twinkling,,N,M,S,,GPC,fusser6
cym,chwistrell,1,chwistrell,syringe,,N,F,S,,GPC,fusser12
cym,chwistrelliad,1,chwistrelliad,injection,,N,M,S,,GPC,fusser12
cym,chwistrellwr,1,chwistrellwr,injector,,N,M,S,,GPC,fusser12
cym,chwrael,1,,,,,,,,"changed to ""chwarel""",fusser32
cym,chwydd,1,chwydd,swelling,,N,M,S,,GPC,stammers1
cym,chwyddwydr,3,chwyddwydr,microscope,,N,M,S,,GPC,fusser13
cym,chwyslyd,1,chwyslyd,sweaty,,ADJ,,,,,fusser30
cym,chyfanrwydd,1,cyfanrwydd,wholeness,,N,M,S,,,roberts1
cym,chyfnitherod,1,cyfnither,cousin,,N,F,P,,this plural cited by GyA,davies11
cym,ciaidd,1,ciaidd,cruel,,ADJ,,,,,davies6
cym,cidnapio,2,cidnapio,kidnap,,V,,,INFIN,GPC,"fusser31,robert4"
cym,cimwch,1,cimwch,lobster,,N,M,S,,,fusser9
cym,citio,2,citio,kit,(kit out),V,,,INFIN,GyA,"davies3,davies5"
cym,ciwrio,2,ciwrio,cure,,V,,,INFIN,GPC,"fusser26,fusser27"
cym,clariffeio,1,clariffeio,clarify,,V,,,INFIN,GPC,roberts4
cym,clau,1,clau,clean,,V,,,INFIN,GyA,fusser3
cym,cleddyf,1,cleddyf,sword,,N,M,S,,,fusser23
cym,cledrau,1,cedr,rail,,N,F,P,,,davies10
cym,cledrffordd,2,cledrffordd,railroad,,N,F,S,,GPC,fusser4
cym,cleimio,6,cleimio,claim,,V,,,INFIN,GPC,"davies2,davies4,fusser25,fusser29,robert7"
cym,cleiog,1,cleiog,clayey,,ADJ,,,,,davies4
cym,clên,10,clên,pleasant,,ADJ,,,,GPC,"davies2,fusser11,fusser14,fusser21,fusser23,fusser5"
cym,clico,1,clicio,click,,V,,,INFIN,,robert6
cym,clochdar,1,clochdar,cluck,,V,,,INFIN,,davies11
cym,clogyn,1,clogyn,cloak,,N,M,S,,,roberts4
cym,clonio,1,clonio,clone,,V,,,INFIN,GPC,fusser17
cym,clustdlysau,1,,,,,,,,"changed to ""clustlysau"" in line with GPC",davies13
cym,clustlysau,1,clustlws,earring,,N,MF,P,,"GPC has ""clustlws"" and ""clust-dlws -> clustlws""",davies13
cym,clyweliad,1,clyweliad,audition,,N,M,S,,GyA,davies7
cym,cnufiau,1,cnu,fleece,,N,M,P,,GPC,fusser11
cym,co,1,dacw,there,,ADV,,,,"GPC mentions variant ""'co"" for ""dacw""","fusser3,"
cym,co,4,cof,memory,,N,M,S,,,"robert7,roberts3, roberts4"
cym,coban,2,coban,nightshirt,,N,F,S,,,davies14
cym,cobenni,1,coban,nightshirt,,N,F,P,,this plural not in dictionaries,roberts2
cym,coblyn,4,coblyn,goblin,,N,M,S,,,"davies17,fusser11,fusser26,fusser32"
cym,cochion,1,coch,red,,ADJ,,P,,,davies4
cym,codwm,1,codwm,fall,,N,M,S,,,stammers1
cym,coedydd,2,coed,wood,,N,M,P,,,fusser9
cym,coedyn,5,coedyn,plank,,N,M,S,,GPC,"fusser13,stammers6"
cym,coel,2,coel,believe,,N,MF,S,,,fusser6
cym,cogyddes,1,cogyddes,cook,,N,F,S,,,deuchar1
cym,côl,3,côl,lap,,N,F,S,,,davies1
cym,colur,1,colur,make-up,,N,M,S,,,fusser3
cym,comitio,1,comitio,commit,,V,,,INFIN,GPC,stammers6
cym,compario,1,compario,compare,,V,,,INFIN,GPC,robert3
,,,,,,,,,,,
cym,conffyrmio,2,conffyrmio,confirm,,V,,INFIN,,GPC,davies15
,,,,,,,,,,,
cym,controlio,3,controlio,control,,V,,INFIN,,GPC,"fusser15,robert3"
cym,copyn,8,,,,,,,,"changed to ""pry_copyn""",fusser16
cym,pry_copyn,8,pryf_copyn,spider,,N,M,S,,"GPC ""pry(f) cop(yn)"" under ""pryf""",fusser16
cym,cor,1,,,,,,,,"changed to ""côr""",fusser9
cym,côr,1,côr,plaiting,,N,M,S,,GPC (only in compositions),fusser9
cym,cordwellt,6,cordwellt,cordgrass,,N,M,S,,on http://termau.org (citing Cymdeithas Edward Llwyd),fusser9
cym,cordyn,1,cordyn,string,,N,M,S,,,fusser15
cym,cored,4,cored,weir,,N,F,S,,GPC,fusser9
cym,corws,2,corws,chorus,,N,M,S,,GyA,davies1
cym,coryn,1,,,,,,,,"changed to ""corryn""",fusser27
cym,corryn,1,corryn,spider,,N,M,S,,GPC,fusser27
cym,cotwm,2,cotwm,cotton,,N,M,S,,,"fusser3,stammers9"
cym,cownto,1,cownto,count,,V,,,INFIN,GPC,davies1
cym,crachach,1,crachach,snobs,,N,,P,,GPC,stammers1
cym,craciau,1,crac,crack,,N,M,P,,,fusser32
,,,,,,,,,,,
cym,crand,3,crand,fancy,,ADJ,,,,GPC,"fusser23,fusser8,robert9"
cym,cratsh,1,cratsh,cage,,N,M,S,,GPC,fusser25
